id,Producto,Tienda,Estado,Incumplimiento
13620,PANTALON,MERCADO SORIANA Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13621,ZAPATOS,TUNEL SPORT  S. A. DE C. V.,MEXICO,0
13622,ZAPATOS,TUNEL SPORT  S. A. DE C. V.,MEXICO,0
13623,ZAPATOS,TUNEL SPORT  S. A. DE C. V.,MEXICO,0
13624,MASA  TORTILLAS  TOSTADAS  HARINAS PREP.,VINOS Y LICORES EL COFRECITO DE ORO Y/O JOSE HUMBERTO GUTIERREZ MORALES,MEXICO,0
13625,HARINA DE MAIZ,VINOS Y LICORES EL COFRECITO DE ORO Y/O JOSE HUMBERTO GUTIERREZ MORALES,MEXICO,0
13626,FRIJOLES,VINOS Y LICORES EL COFRECITO DE ORO Y/O JOSE HUMBERTO GUTIERREZ MORALES,MEXICO,0
13627,FRIJOLES,MINI SUPER EL 13 DE LA BUENA SUERTE  Y/O MAURA CARMEN RAMOS MARTINEZ,MEXICO,0
13628,FRIJOLES,MINI SUPER EL 13 DE LA BUENA SUERTE  Y/O MAURA CARMEN RAMOS MARTINEZ,MEXICO,0
13629,CHILES,MINI SUPER EL 13 DE LA BUENA SUERTE  Y/O MAURA CARMEN RAMOS MARTINEZ,MEXICO,0
13630,CHILES,MINI SUPER EL 13 DE LA BUENA SUERTE  Y/O MAURA CARMEN RAMOS MARTINEZ,MEXICO,0
13631,CHILES,MISCELANEA ALEX Y/O ALEJANDRA RAMIREZ ORTEGA,MEXICO,0
13632,FRIJOLES,MISCELANEA ALEX Y/O ALEJANDRA RAMIREZ ORTEGA,MEXICO,0
13633,NECTAR,MISCELANEA ALEX Y/O ALEJANDRA RAMIREZ ORTEGA,MEXICO,0
13634,BEBIDAS,MISCELANEA ALEX Y/O ALEJANDRA RAMIREZ ORTEGA,MEXICO,0
13635,ATUN,NUEVA WAL MART DE MEXICO S. DE R.L. DE C. V.,MEXICO,0
13636,ATUN,NUEVA WAL MART DE MEXICO S. DE R.L. DE C. V.,MEXICO,0
13637,ATUN,NUEVA WAL MART DE MEXICO S. DE R.L. DE C. V.,MEXICO,0
13638,ATUN,NUEVA WAL MART DE MEXICO S. DE R.L. DE C. V.,MEXICO,0
13639,PRENDAS DE VESTIR,BOUTIQUE QUARRY Y/O VICTIMA DE LA MODA  S. A. DE C. V.,MEXICO,0
13640,PANTALON,BOUTIQUE QUARRY Y/O VICTIMA DE LA MODA  S. A. DE C. V.,MEXICO,0
13641,PRENDAS DE VESTIR,BOUTIQUE QUARRY Y/O VICTIMA DE LA MODA  S. A. DE C. V.,MEXICO,0
13642,PRENDAS DE VESTIR,BOUTIQUE QUARRY Y/O VICTIMA DE LA MODA  S. A. DE C. V.,MEXICO,0
13643,PRENDAS DE VESTIR,BOUTIQUE QUARRY Y/O VICTIMA DE LA MODA  S. A. DE C. V.,MEXICO,0
13644,PANTALON,BOUTIQUE QUARRY Y/O VICTIMA DE LA MODA  S. A. DE C. V.,MEXICO,0
13645,MAYONESA,MEGA COMERCIAL MEXICANA Y/O TIENDAS COMERCIAL MEXICANA  S. A. DE C. V.,MEXICO,0
13646,ACEITE COMESTIBLE,MEGA COMERCIAL MEXICANA Y/O TIENDAS COMERCIAL MEXICANA  S. A. DE C. V.,MEXICO,0
